missingTCGDateIDs,
3431737,null
3366982,null
3204467,null
3167573,null
3113836,null
3072077,null
2986553,null
2956282,null
2779999,null
2766877,null
2619149,null
2407147,null
2377034,null
2191144,null
2091298,null
2088870,null
2067935,null
2047519,null
2009101,null
1969506,null
1929294,null
1828513,null
1710476,null
1644289,null
1596508,null
1533292,null
1474910,null
1287123,null
1281505,null
1264319,null
900787,null
876330,null
847915,null
706925,null
652362,null
598988,null
581014,null
564541,null
359563,null
336369,null
168917,null
123103,null
41777,
,
"	",
